cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugzbtz7od6P_lSu5IRB4AaABAg,Juni 2026 masih nonton,5 days ago,@ameliaplants6572,UCxmqfYVLow534KwZNTPb33w,0,,https://yt3.ggpht.com/ohgsRDiSyW45BcSDGU_3ZTvK88ubPgi6uigbXj6amZi0UwfspDDdClCXb_F3doeVpw1Mvy_V=s88-c-k-c0x00ffffff-no-rj,False,False,1781246176.4817
UgzxmrExEU2nIOsnHJ54AaABAg,taii persebaya asumsimu bosok,5 days ago,@RahayuprawulandariPrawulandari,UCjnrAaiCio67X6mhq-1i97A,0,,https://yt3.ggpht.com/ytc/AIdro_nhoOi8Lhcr7w0l0Ur6N0ern1n6gqe49p8sDZDsXjKezsAllwS3frRAi1p45L_qVDrCfQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781246176.48331
UgwicM-F1isN5TluQVt4AaABAg,"videomu hanya memperkeruh keadaan, kau berasumsi sendiri seolah2 kalian korban dan aremania pelaku",5 days ago,@RahayuprawulandariPrawulandari,UCjnrAaiCio67X6mhq-1i97A,0,1,https://yt3.ggpht.com/ytc/AIdro_nhoOi8Lhcr7w0l0Ur6N0ern1n6gqe49p8sDZDsXjKezsAllwS3frRAi1p45L_qVDrCfQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781246176.48481
UgyfgAvZxNMB0e-UhZ54AaABAg,1:16:48 sok keras banget,5 days ago,@jihadhamasdawenan,UCrI178X3t44RY-Ugp6lkzNg,0,,https://yt3.ggpht.com/9BgUtlD6XOQLmWfjsVdzV6TULjKq6O0ks21Sk6B5YbHewPLmgIoTOnRdaSBye9QzwsqlIINuOw=s88-c-k-c0x00ffffff-no-rj,False,False,1781246176.486273
UgxvfQIEMNmJPNkxKCV4AaABAg,01:12:08,5 days ago,@jihadhamasdawenan,UCrI178X3t44RY-Ugp6lkzNg,0,,https://yt3.ggpht.com/9BgUtlD6XOQLmWfjsVdzV6TULjKq6O0ks21Sk6B5YbHewPLmgIoTOnRdaSBye9QzwsqlIINuOw=s88-c-k-c0x00ffffff-no-rj,False,False,1781246176.487738
UgzjMXNTsHdY7Pc4AYd4AaABAg,"udah 3 tahun aja, ga kerasa ya waktu",6 days ago,@AnchorSportPhoto,UCtVlxUUjZG6mmUHOwSaROKw,0,,https://yt3.ggpht.com/4UB1hERrO74txaSANPmQ_pnzEPPY_UxLaiLAlfeOCe3Ts_T4rJxgYmZzTl2Bw8sNc8ltgFXuHg=s88-c-k-c0x00ffffff-no-rj,False,False,1781159776.48917
Ugy_bdABUKxiiWXEBmV4AaABAg,Polisi baracuda masukanya mana knapa tidak mengambil tindakan sekalian,7 days ago,@WindaSari-m6r,UCOOgz-Y8gcwvFk4r0gNZiWg,0,,https://yt3.ggpht.com/ytc/AIdro_kNJc9RnBGBiYAcGAPzRP2vQMy9skHrI069ZGthQ8UhrfNMbfsmOyYes_FyBWwe6GTSzg=s88-c-k-c0x00ffffff-no-rj,False,False,1781073376.490662
UgyPYOft4wGDh016mX54AaABAg,"kami tidak menyalahkan semua polisi, hanya para oknum dari polisi yang menyemprotkan gas air mata ke penonton di tribun yang tidak turun ke lapangan, mengapa?? agar penonton yg turun ke lapangan tidak semakin banyakk?? tapi mengapa gas air mata yang di gunakan sudah kadaluarsa?. dan kenapa pintu di tribun saat itu di kunci,padahal waktu itu banyak suporter yang menumpuk ingin keluar, sedangkan yang menjaga pintu itu adalah pihak panitia dan polisi. yang harus di usut sebenarnya menurut sudut pandang saya, suporter yang memulai turun pertama kali ke lapangan dan memicu ke anarkisan, polisi yang menggunakan gas air mata, official yang tidak becus mengurus fasilitas stadion. 135+ never forget 🙏🙏",7 days ago,@DzaKi-ev8dw,UCMNA6GuzQwkjXGpodu61j1A,1,,https://yt3.ggpht.com/ytc/AIdro_nsY7Wz66Qkthpw8X7S-QjH6rLsZ8W4MCt8yLMHraVlOilDEr_euLO-DWFfReOv4gst5w=s88-c-k-c0x00ffffff-no-rj,False,False,1781073376.492096
Ugx6FmAJ7UYSyCciHHN4AaABAg,Pemain persebaya meludahi logo arema,12 days ago,@DanuReksa,UCM3BcMW5N9fp7nox-eZ5MWw,0,,https://yt3.ggpht.com/ytc/AIdro_n6uXwQUZQrJSqgJ6ZF2m7yPyU86vA2cV06lZe_vIJ30N0POsPL-swpaX5qoZBX-P1M2A=s88-c-k-c0x00ffffff-no-rj,False,False,1780641376.493601
UgxAMpmZhbG2_oPo6Jd4AaABAg,AREMA MATEKAN,2 weeks ago,@AldiputraRamadhani-s3z,UChIa0Ehy3pVvo_aRjT6KAMg,1,,https://yt3.ggpht.com/97rj54eyYA6f30EBtQx2zxL956zknuoP1ZiR0uYocTl_3wW4btOo2lq6RfdbPVHDkFTFAOrRFQ=s88-c-k-c0x00ffffff-no-rj,False,False,1780468576.49506
