cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugzh98Q6n2CHOj6Tmzl4AaABAg,Mbg penting bagi rakyat kecil mas,6 minutes ago,@toriqalbasuki9625,UCdmPGtnmNxtI2rO293u1xJQ,0,,https://yt3.ggpht.com/ytc/AIdro_lobEygh6O_Bjl7h7mr4MTRESHAyLTBfmIrqCBX7xUBostd5FaRyhFqYGRxUGQnwchWjQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781669514.191851
UgzE75eiqBGHQs0bZ8Z4AaABAg,Bu Irma pasti dia berkelit karena dia diduga ikut terlibat dalam MBG melalui SPPG,41 minutes ago,@amronsihombing,UCmcPWXCicXwQBBY5avjicPQ,0,,https://yt3.ggpht.com/ytc/AIdro_lg5FInNAMBFHooMx4oaaqXCTAUEfDySG0cXGXsn1rS9sJe90gEKMH_g7KL4VFPbHCDqQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781667414.196548
UgwS-VHl3aJRTqI2k1h4AaABAg,"Program MBG bagi bagi kue hingga DPR, TNI, POLRI
Program bancakan uang rakyat,,,",53 minutes ago,@IrwanSumirat-o7b,UCzwQ2xJE1_P4b6DiITUAMxw,0,,https://yt3.ggpht.com/ytc/AIdro_n-5Uyy4uBf1cepaJOjOz08ZJYmQ28dvmHuEThaoTdfRc9dbQYzmqUndF_0hW2OfKNQ5g=s88-c-k-c0x00ffffff-no-rj,False,False,1781666694.200743
UgyNPqq1wD4Tvjktcnl4AaABAg,tu gara 2 mbg guru2 gajinya terlambat tetus bah kan yg ppk dan honorer gak di gaji tutup mbg bikin ribet negara,1 hour ago,@mbahronggo3960,UC-neWfIO6zmopHCmEoPWzog,0,,https://yt3.ggpht.com/ytc/AIdro_kINY79WLLFbV4qBBA2qy06b1yH-zlGHqndB7zHCA=s88-c-k-c0x00ffffff-no-rj,False,False,1781666274.203822
UgyzfgKLSvyMKB9JDDB4AaABAg,Katanya ada pengawasan  tapi kecolongan gimana sih itu omongan Irma Irma tetap tdk berubah 😂😂😂,1 hour ago,@asfarmansyur6363,UCTOGrcglZFpMGuw3KmgsJtA,0,,https://yt3.ggpht.com/ytc/AIdro_lXpKyGEauNTa7k4Vr9pVCHaN4iUoPEMCS4GAMIVqA=s88-c-k-c0x00ffffff-no-rj,False,False,1781666274.208036
Ugy6OjwRJlv04dtmZdt4AaABAg,Bgn badan goblk nasional😅😅😅,2 hours ago,@Fragnir,UCNd8aZGIiZKwQGEfmR4MFuw,0,,https://yt3.ggpht.com/0rl3pm8aJ6G313_riICoTZDTQu6JRT0hgVAbF7vSx2ZnC5pFLUMGUUUFdCiBJl5mVkU4SGPI=s88-c-k-c0x00ffffff-no-rj,False,False,1781662674.21094
Ugx3dL_HaM6h3hXwkZN4AaABAg,Stop MBG dapur nya yang bermasalah,3 hours ago,@BuyBuyung,UCEYj7nr5ZfHBNUZeGboFfhQ,0,,https://yt3.ggpht.com/ytc/AIdro_nYQvAmUyrYtkF2soc7ppz6IxaER9_xGSrVZLHiG4eUGMeY1Tl-U5nqn34h_UtOew4GdA=s88-c-k-c0x00ffffff-no-rj,False,False,1781659074.214568
UgyIRv9pgYIkva4jaAZ4AaABAg,"baiknya kaum muda,/mahasiswa yg dihadirkan adalah mayoritas mahasiswa hukum,agar meningkatkan wawasan profesi mereka dalam masalah hukum ,disamping mhs jurusan lain yg terkait",3 hours ago,@mahesajenar301,UCAxMMavXfbhKuXx9dodTYMw,1,,https://yt3.ggpht.com/ytc/AIdro_lxtt0vNQZEu_9S2BlLi0HipRJF-3Xkzsw8lD8pjSo=s88-c-k-c0x00ffffff-no-rj,False,False,1781659074.21846
Ugy6yBy2Gt43eqw3oxN4AaABAg,"KALAU YANG DAPAT JATAH DAPUR PASTI MENGATAKAN PROGRAM MBG BAGUS, BAGUS BAGI DOMPET MU BERTAMBAH TERUS",4 hours ago,@EmaGantiang,UC6_SXUKv-Zyet9lk9p_4G8Q,0,,https://yt3.ggpht.com/ytc/AIdro_lXCpv9R4B07OCtxS5nKbqTd2dOphEMw5_JbLklUmIjhy4uMx4EL0dgbCbWmLeygOLbOQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781655474.221141
UgyGV2GBfx9bjzOnMNV4AaABAg,MBG di stop dananya alihkan utk Biaya pendidikan dan kesehatan   gratis.,7 hours ago,@drstohani8042,UCCXYnCu62cybA4TLKr5nPpQ,0,,https://yt3.ggpht.com/ytc/AIdro_lq_ys0z-F8TY71iMY238mtSI7xHTtIfK5xpj_ArOwQ_Y1a86jQgSV_wej4oKrByN5fYQ=s88-c-k-c0x00ffffff-no-rj,False,False,1781644674.222836
